id,name
1,soldier
2,hours
3,steel
4,black
5,bronze
6,silver
7,gold
8,pope
9,god
10,goddess
11,omega
12,captain
13,celestialStar
14,terrestrialStar
15,commander
16,
17,fallenAngel
18,general
19,gladiator
20,highPriest
21,highRanking
22,legionaries
23,ephodosBattalion
24,
25,lowRanking
26,priest
27,principal
28,host
29,reincarnation
30,personification
31,representative
32,firstClass
33,secondClass
34,thirdClass
35,vicePrincipal
36,highMartian
37,leptas
38,automaton
39,dragon
40,undead
41,pythia
42,witch
43,
44,heavenlyKing
45,ressurectedSaint
46,stigma
