id,character,name,cloth,version,group,rank,god,artistSaint,artistCloth,image,historySaint,historyCloth,curiosities
1,1,1,148,,athena-saints-38,7,582,16,10,/cloth-schemes/athena-saints/gemini-abel.jpg,4,0,
2,2,2,371,,apollo-abel-gods,9,28,6,6,/cloth-schemes/apollo-corona-saints/phoebus-abel.jpg,23,0,
3,252,252,160,,hakuryu-gods,9,496,6,6,/cloth-schemes/hakuryu-taonias/hakuryu-liu-xing.jpg,7,0,
4,4,4,330,,pallas-weapon-firstclass-3,32,323,5,5,/cloth-schemes/pallas-pallasites/graviton-aegaeon.png,16,0,
5,5,5,147,,pallas-weapon-secondclass-2,33,323,31,8,/cloth-schemes/pallas-pallasites/gauntlet-phantom-arm-aegir.png,16,0,
6,6,6,83,,athena-saints-29,6,582,6,6,/cloth-schemes/athena-saints/crater-aeson.jpg,5,4,
7,7,7,201,,athena-hindu-saints-17,6,582,5,5,/cloth-schemes/athena-saints/lotus-aghora.jpg,12,0,
8,8,8,51,,typhon-brothers-1,,444,5,6,/cloth-schemes/typhon-gigas/brute-force-agrios.jpg,27,0,
9,9,9,146,,hades-celestial-star-6,13,168,1,1,/cloth-schemes/hades-specters/garuda-aiacos.jpg,1,1,
10,10,10,189,,athena-saints-46,7,582,1,1,/cloth-schemes/athena-saints/leo-aiolia.jpg,1,1,
11,10,10,189,,athena-saints-46,9,582,5,5,/cloth-schemes/athena-saints/leo-aiolia-god.jpg,14,14,
12,10,10,246,,odin-gods,9,495,5,5,/cloth-schemes/odin-god-warriors/odin-aiolia.jpg,14,14,
13,11,11,302,,athena-saints-72,7,582,1,1,/cloth-schemes/athena-saints/sagittarius-aiolos.jpg,1,1,
14,11,11,302,,athena-saints-72,9,582,5,5,/cloth-schemes/athena-saints/sagittarius-aiolos-god.jpg,14,14,
15,12,504,284,,athena-saints-66,7,582,21,21,/cloth-schemes/athena-saints/pisces-albafica-lost-canvas-anime.jpg,15,15,
16,13,13,218,,odin-ursa-major-star-3,,495,33,32,/cloth-schemes/odin-god-warriors/megrez-alberich.jpg,12,12,
17,14,14,218,,odin-ursa-major-star-3,1,495,22,0,/cloth-schemes/odin-god-warriors/alberich-xiii-manga.jpg,12,0,
18,15,15,336,,athena-saints-78,7,582,1,1,/cloth-schemes/athena-saints/taurus-aldebaran.jpg,1,1,
19,15,15,336,,athena-saints-78,9,582,5,5,/cloth-schemes/athena-saints/taurus-aldebaran-god.jpg,14,14,
20,16,16,67,,athena-saints-21,4,582,6,6,/cloth-schemes/athena-saints/cetus-allegre.jpg,7,1,
21,17,17,165,,athena-saints-40,6,582,1,1,/cloth-schemes/athena-saints/heracles-algethi.jpg,1,1,
22,18,18,273,,athena-saints-63,6,582,1,1,/cloth-schemes/athena-saints/perseus-algol.jpg,1,1,
23,19,19,360,,arthur-gladiators,,488,7,7,/cloth-schemes/arthur-gladiators/vorpal-alice.jpg,10,10,
24,20,20,105,,athena-saints-32,5,582,4,4,/cloth-schemes/athena-saints/delphinus-mii.jpg,5,5,
25,21,21,32,,athena-saints-8,6,582,6,6,/cloth-schemes/athena-saints/auriga-almaaz.png,16,0,
26,22,22,159,,hades-gods,9,168,10,10,/cloth-schemes/hades-specters/hades-alone-anime.jpg,15,15,
27,23,23,284,,athena-saints-66,7,582,5,5,/cloth-schemes/athena-saints/pisces-amor.png,16,16,
28,24,24,199,,odin-gods,9,495,5,5,/cloth-schemes/odin-god-warriors/loki-andreas-lise.jpg,14,14,
29,,,,,tezcatlipoca-jaguar-soldiers,1,163,6,6,/cloth-schemes/tezcatlipoca-jaguars/jaguars.jpg,7,0,
30,25,25,196,,typhon-gigas-4,,444,27,27,/cloth-schemes/typhon-gigas/leukotes-anemos.jpg,8,0,
31,26,26,,,ra-egyptian-gods,9,348,6,6,/cloth-schemes/ra-legionaries/anubis.jpg,8,0,
32,27,27,284,,athena-saints-66,7,582,1,1,/cloth-schemes/athena-saints/pisces-aphrodite.jpg,1,1,
33,27,27,284,,athena-saints-66,9,582,5,5,/cloth-schemes/athena-saints/pisces-aphrodite-god.jpg,14,14,
34,29,29,,,ra-egyptian-gods,9,348,6,6,/cloth-schemes/ra-legionaries/apophis.jpg,9,0,
35,30,30,112,,apsu-anunnakis,9,30,6,6,/cloth-schemes/apsu-anunnaki/apsu.jpg,16,0,
36,31,31,335,,athena-former-saints-5,6,582,6,6,/cloth-schemes/athena-saints/aranea-arachne.jpg,12,0,
37,32,32,301,,athena-saints-71,6,582,6,6,/cloth-schemes/athena-saints/sagitta-alcon-huye.jpg,6,1,
38,33,33,25,,zeus-gods,9,306,5,5,/cloth-schemes/zeus-gods/ares.jpg,29,29,
39,34,34,359,,athena-saints-87,5,582,5,6,/cloth-schemes/athena-saints/volans-argo.jpg,16,29,
40,35,35,6,,athena-gods,9,582,6,6,/cloth-schemes/athena-saints/athena-aria.jpg,16,16,
41,370,370,148,,hades-ressurected-saints,,168,,,/cloth-schemes/hades-specters/gemini-saga-specter.jpg,1,0,
42,37,37,195,,athena-saints-48,5,582,6,6,/cloth-schemes/athena-saints/lepus-arne.jpg,16,29,
43,214,214,21,,poseidon-gods,9,494,18,18,/cloth-schemes/poseidon-mariners/poseidon-julian-solo-odyssey.jpg,38,38,
44,39,39,71,,apollo-fallen-angels-wisdom,17,28,5,5,/cloth-schemes/apollo-angels/cherub-ashtaroth.jpg,24,0,
45,40,263,356,,athena-saints-86,7,582,21,21,/cloth-schemes/athena-saints/virgo-asmita-lost-canvas-anime.jpg,15,0,
46,41,503,148,,athena-saints-38,7,582,16,16,/cloth-schemes/athena-saints/gemini-aspros.png,6,0,
47,42,42,57,,athena-saints-13,6,582,1,1,/cloth-schemes/athena-saints/canes-venatici-asterion.jpg,1,1,
48,43,43,145,,odin-chamber-4,,495,5,5,/cloth-schemes/odin-god-warriors/garmr-utgardar.png,14,0,
49,44,44,,,hades-terrestrial-star-37,14,168,3,3,/cloth-schemes/hades-specters/atavaka.jpg,7,7,
50,45,45,279,v2,eris-dryads,,308,6,6,/cloth-schemes/eris-dryads/ruin-ate-2.jpg,5,0,
51,15,15,336,,athena-saints-78,7,582,18,18,/cloth-schemes/athena-saints/taurus-aldebaran-time-odyssey.jpg,38,38,
52,47,47,61,,athena-saints-17,5,582,5,5,/cloth-schemes/athena-saints/carina-atlas.jpg,23,0,
53,396,,59,,apollo-golden-warriors,7,28,,,/cloth-schemes/apollo-golden-warriors/capricornus-shura-guardians.jpg,46,0,
54,49,49,26,,athena-saints-7,7,582,6,6,/cloth-schemes/athena-saints/aries-avenir.jpg,7,0,
55,50,50,64,,athena-saints-19,6,582,1,1,/cloth-schemes/athena-saints/centaurus-babel.jpg,1,1,
56,51,281,34,,ares-mars-heavenly-kings,,33,5,5,/cloth-schemes/ares-martians/bacchus.png,16,0,
57,52,52,175,,poseidon-mariners-generals,18,494,1,1,/cloth-schemes/poseidon-mariners/sea-horse-baian.jpg,1,1,
58,53,53,296,,athena-saints-70,6,582,31,19,/cloth-schemes/athena-saints/reticulum-balazo.png,16,29,
59,54,54,169,,odin-chamber-3,,495,5,5,/cloth-schemes/odin-god-warriors/hraesvelgr-baldr.png,14,0,
60,55,55,191,,athena-saints-47,5,582,1,1,/cloth-schemes/athena-saints/leo-minor-ban.jpg,1,1,
61,56,56,54,,athena-saints-11,6,582,31,8,/cloth-schemes/athena-saints/camelopardalis-bartsch.png,16,0,
62,57,57,49,,athena-saints-9,6,582,6,6,/cloth-schemes/athena-saints/bootes-bayer.png,16,0,
63,58,58,312,,apollo-fallen-angels-fire,17,28,5,5,/cloth-schemes/apollo-angels/seraph-beelzebub.jpg,24,0,
64,,,42,v1,ares-mars-martians,,33,31,8,/cloth-schemes/ares-martians/beetle-brothers-1.jpg,16,0,
65,,,42,v2,ares-mars-martians,,33,31,8,/cloth-schemes/ares-martians/beetle-brothers-2.jpg,16,0,
66,61,61,78,,athena-saints-25,5,582,5,5,/cloth-schemes/athena-saints/coma-berenices-berengue.jpg,23,0,
67,63,63,191,,athena-saints-47,5,582,,,,6,0,
68,,,399,,odin-blue-warrior-low-ranking,1,495,6,6,/cloth-schemes/odin-blue-warriors/blue-warriors-soldiers.jpg,1,0,
69,66,66,219,,typhon-gigas-3,,444,27,27,/cloth-schemes/typhon-gigas/melas-bronte.jpg,8,0,
70,67,67,3,,odin-ursa-major-star-7,,495,33,32,/cloth-schemes/odin-god-warriors/alcor-bud.jpg,12,12,
71,68,68,239,,hades-terrestrial-star-56,13,168,3,3,/cloth-schemes/hades-specters/necromancer-byaku.png,6,6,
72,41,41,148,,athena-saints-38,7,582,16,10,/cloth-schemes/athena-saints/gemini-cain.jpg,4,0,
73,70,70,,,artemis-satellite-representative,31,38,6,6,/cloth-schemes/artemis-satellites/callisto.jpg,4,0,
74,71,71,18,,athena-saints-4,7,582,1,1,/cloth-schemes/athena-saints/aquarius-camus.jpg,1,1,
75,71,71,18,,athena-saints-4,9,582,5,5,/cloth-schemes/athena-saints/aquarius-camus-god.png,14,14,
76,72,72,32,,athena-saints-8,6,582,1,1,/cloth-schemes/athena-saints/auriga-capella.jpg,1,1,
77,73,73,294,,tezcatlipoca-gods,9,163,6,6,/cloth-schemes/tezcatlipoca-jaguars/quetzalcoatl-calvera.jpg,7,0,
78,12,12,284,,athena-saints-66,7,582,5,5,/cloth-schemes/athena-saints/pisces-cardinale.jpg,4,0,
79,75,75,321,,garnet-jewels,,149,6,6,/cloth-schemes/garnet-jewels/sliced-blood-carnelian.jpg,7,0,
80,77,77,133,,athena-saints-35,5,582,5,31,/cloth-schemes/athena-saints/equuleus-celeris.png,16,0,
81,78,78,178,,garnet-jewels,,149,6,6,/cloth-schemes/garnet-jewels/illusions-chalcedony.jpg,7,0,
82,79,79,1,,hades-celestial-star-4,13,168,1,1,/cloth-schemes/hades-specters/acheron-charon.jpg,1,1,
83,80,80,53,,hades-terrestrial-star-57,14,168,3,3,/cloth-schemes/hades-specters/cat-sith-cheshire.jpg,6,6,
84,81,81,333,,typhon-sons-2,,444,5,6,/cloth-schemes/typhon-gigas/synthetic-beast-chimera.jpg,27,0,
85,82,82,68,,hades-celestial-star-30,13,168,6,6,/cloth-schemes/hades-specters/cetus-chris.jpg,7,0,
86,83,83,86,,athena-saints-30,6,582,5,5,/cloth-schemes/athena-saints/crux-christ.png,21,21,
87,524,524,343,,cronus-titans-1,,84,5,25,/cloth-schemes/cronus-titans/time-cronus.jpg,8,8,
88,85,85,96,,cronus-titans-7,,84,5,6,/cloth-schemes/cronus-titans/dark-lightning-coeus.jpg,8,8,
89,265,265,80,,athena-saints-27,5,582,6,6,/cloth-schemes/athena-saints/corona-borealis-maria.jpg,5,0,
90,87,87,143,,cronus-titans-11,,84,5,25,/cloth-schemes/cronus-titans/galaxy-crius.jpg,8,8,
91,88,88,35,,balor-gods,,492,6,6,/cloth-schemes/balor-fairies/balor-cruaich.jpg,7,0,
92,89,,87,,athena-unknown-saints,,582,5,5,/cloth-schemes/athena-saints/crystal-saint.jpg,12,33,
93,90,90,124,,hades-terrestrial-star-101,14,168,,,/cloth-schemes/hades-specters/dullahan-cube.jpg,1,0,
94,91,91,,,hades-celestial-star-21,13,168,6,6,/cloth-schemes/hades-specters/curly.jpg,29,0,1
95,92,92,641,,athena-saints-42,5,582,,,,6,0,
96,93,93,99,,pallas-weapon-thirdclass-4,34,323,31,8,/cloth-schemes/pallas-pallasites/deadly-scythe-soul-killer-cyllene.png,16,0,
97,94,94,187,,athena-saints-88,3,582,5,5,/cloth-schemes/athena-saints/vulpecula-daichi.jpg,12,12,
98,95,95,80,,athena-saints-27,5,582,30,8,/cloth-schemes/athena-saints/corona-borealis-dali.png,16,0,
99,96,96,66,,athena-former-saints-13,6,582,1,1,/cloth-schemes/athena-saints/cerberus-dante.jpg,1,1,
100,97,97,55,,athena-saints-12,7,582,1,1,/cloth-schemes/athena-saints/cancer-deathmask.jpg,1,1,
101,97,97,55,,athena-saints-12,9,582,5,5,/cloth-schemes/athena-saints/cancer-deathmask-god.jpg,14,14,
102,97,97,289,,eris-ghost-saints-2,,308,6,6,/cloth-schemes/eris-dryads/punishment-deathmask.jpg,5,0,
103,98,98,55,,athena-saints-12,7,582,16,10,/cloth-schemes/athena-saints/cancer-deathtoll.jpg,4,0,
104,1,614,148,,athena-saints-38,7,582,16,16,/cloth-schemes/athena-saints/gemini-defteros.png,6,0,
105,100,500,18,,athena-saints-4,7,582,20,20,/cloth-schemes/athena-saints/aquarius-degel.jpg,0,0,
106,395,395,8,omega,athena-saints-1,5,582,5,31,/cloth-schemes/athena-saints/andromeda-shun-3-omega.jpg,16,16,
107,38,155,107,,ares-mars-heavenly-kings,,33,5,5,/cloth-schemes/ares-martians/diana.png,16,0,
108,103,103,235,,athena-saints-56,6,582,1,1,/cloth-schemes/athena-saints/musca-dio.jpg,1,1,
109,104,104,364,,pallas-weapon-secondclass-4,33,323,31,8,/cloth-schemes/pallas-pallasites/whip-snake-plasma-dione.png,16,0,
110,105,105,,,athena-unknown-saints,,582,20,20,/cloth-schemes/athena-saints/docrates.jpg,12,0,
111,106,106,197,,athena-saints-49,7,582,1,1,/cloth-schemes/athena-saints/libra-dohko.jpg,1,1,
112,106,106,197,,athena-saints-49,9,582,5,5,/cloth-schemes/athena-saints/libra-dohko-god.jpg,14,14,
113,107,107,24,,athena-saints-6,4,582,6,6,/cloth-schemes/athena-saints/ara-don-avido.jpg,7,6,
114,108,108,66,,athena-former-saints-13,6,582,31,8,/cloth-schemes/athena-saints/cerberus-dorer.png,16,0,
115,109,109,775,,athena-saints-83,5,582,,,,6,0,
116,110,110,,,hades-pluton-faceless,,168,,,/cloth-schemes/hades-faceless/dragon.png,10,0,
117,111,111,213,,typhon-gigas-7,,444,27,27,/cloth-schemes/typhon-gigas/margarites-drakon.jpg,8,0,
118,112,112,120,,odin-god-warriors-representative,31,495,5,5,/cloth-schemes/odin-god-warriors/drbal.png,22,0,
119,113,113,7,,eris-dryads,,308,6,6,/cloth-schemes/eris-dryads/anarchy-dysnomia.jpg,5,0,
120,114,114,354,,hades-celestial-star-26,13,168,6,6,/cloth-schemes/hades-specters/vampire-erhart.jpg,7,0,
121,115,115,,,typhon-woman-giga,9,444,6,6,/cloth-schemes/typhon-gigas/echidna.jpg,27,0,
